stt,ma_loai_vb,ten_san_pham,mo_ta,loai_san_pham,san_pham_chuan,nhom,he_so,linh_vuc,lech_nhom
1.1,8,"Chiến lược, Đề án phát triển Trường giai đoạn trung, dài hạn","Xây dựng, trình cấp có thẩm quyền phê duyệt Đề án phát triển Trường theo từng giai đoạn.",Đề án,,Nhóm 5,4.5,"1. Chiến lược, quy hoạch và kế hoạch phát triển",
1.2,7.3,"Chương trình, kế hoạch phát triển nhà trường trung – dài hạn",Cụ thể hóa Chiến lược/Đề án phát triển thành kế hoạch trung hạn 5 năm.,Kế hoạch,,Nhóm 4,3.5,"1. Chiến lược, quy hoạch và kế hoạch phát triển",
1.3,7.2,"Chương trình, kế hoạch công tác năm của Trường",Xây dựng kế hoạch công tác năm trình Hiệu trưởng ban hành.,Kế hoạch,,Nhóm 2,1.5,"1. Chiến lược, quy hoạch và kế hoạch phát triển",hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
1.4,7.1,"Chương trình, kế hoạch công tác tháng, quý của Trường",Cụ thể hóa kế hoạch năm thành kế hoạch quý/tháng.,Kế hoạch,x,Nhóm 1,1,"1. Chiến lược, quy hoạch và kế hoạch phát triển",hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
1.5,7.5,"Kế hoạch triển khai văn bản cấp trên (chương trình hành động thực hiện Nghị quyết, Chỉ thị)",Xây dựng chương trình hành động cụ thể hóa chủ trương cấp trên giao.,Kế hoạch,,Nhóm 2,1.5,"1. Chiến lược, quy hoạch và kế hoạch phát triển",hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
1.6,9.3,"Báo cáo sơ kết (quý, 6 tháng) hoạt động nhà trường","Đánh giá kết quả hoạt động nhà trường tháng, quý, 6 tháng.",Báo cáo,x,Nhóm 1,1,"1. Chiến lược, quy hoạch và kế hoạch phát triển",hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
1.7,9.2,Báo cáo tổng kết năm hoạt động nhà trường,"Tổng hợp, thống kê số liệu, đánh giá kết quả hoạt động nhà trường chu kỳ năm.",Báo cáo,,Nhóm 2,1.5,"1. Chiến lược, quy hoạch và kế hoạch phát triển",hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
1.8,9.3,"Báo cáo hoạt động nhà trường giai đoạn (3 năm, 5 năm, …)","Tổng hợp, thống kê số liệu, đánh giá kết quả hoạt động nhà trường giai đoạn 3 năm, 5 năm,...",Báo cáo,,Nhóm 2,2,"1. Chiến lược, quy hoạch và kế hoạch phát triển",hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
1.9,8,"Chiến lược, đề án phát triển khoa, phòng","Xây dựng, trình cấp có thẩm quyền phê duyệt Đề án, chiến lược phát triển khoa, phòng thuộc Trường theo từng giai đoạn.",Đề án,,Nhóm 3,2.5,"1. Chiến lược, quy hoạch và kế hoạch phát triển",
1.10,7.3,"Chương trình/Kế hoạch triển khai đề án phát triển khoa, phòng","Chương trình, kế hoạch cụ thể hóa Chiến lược/Đề án phát triển khoa, phòng.",Kế hoạch,,Nhóm 2,1.5,"1. Chiến lược, quy hoạch và kế hoạch phát triển",hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
2.1,7.2,"Chương trình, kế hoạch công tác tuyển sinh hằng năm","Xây dựng kế hoạch tuyển sinh hằng năm theo ngành, trình độ đào tạo.",Kế hoạch,,Nhóm 2,1.5,2. Tuyển sinh,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
2.2,8,Phương án tuyển sinh,"Xây dựng phương án tuyển sinh (chỉ tiêu, phương thức xét tuyển) trình cấp có thẩm quyền.",Phương án,,Nhóm 2,1.5,2. Tuyển sinh,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
2.3,4,Thông báo tuyển sinh,"Thông báo chỉ tiêu, điều kiện, thời gian tuyển sinh đến người học.",Thông báo,,Nhóm 1,0.5,2. Tuyển sinh,
2.4,2,Quyết định thành lập Hội đồng tuyển sinh,"Thành lập Hội đồng, Ban giúp việc tuyển sinh theo từng đợt/năm.",Quyết định,,Nhóm 1,0.5,2. Tuyển sinh,
2.5,7.4,"Kế hoạch triển khai công tác tư vấn hướng nghiệp, tuyển sinh","Kế hoạch tổ chức tư vấn hướng nghiệp tại các trường phổ thông, địa phương.",Kế hoạch,,Nhóm 1,1,2. Tuyển sinh,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
2.6,9.5,Báo cáo kết quả tuyển sinh theo đợt/năm,"Tổng hợp, đánh giá kết quả tuyển sinh theo đợt/năm.",Báo cáo,,Nhóm 1,0.5,2. Tuyển sinh,
2.7,3,"Quy chế, quy định công tác tuyển sinh","Quy chế, quy định liên quan công tác tuyển sinh, tư vấn, hướng nghiệp",Quy chế/Quy định,,Nhóm 2,2.5,2. Tuyển sinh,hệ số 2.5 ≠ chuẩn Nhóm 2 = 1.2
2.8,5,Hướng dẫn liên quan công tác tuyển sinh,"Thông báo, hướng dẫn, công văn hướng dẫn liên quan công tác tuyển sinh",Hướng dẫn,,Nhóm 2,1.2,2. Tuyển sinh,
2.9,3.1,Văn bản phối hợp nội bộ Trường liên quan công tác tuyển sinh,,Công văn,,Nhóm 1,0.5,2. Tuyển sinh,
2.10,3.2,Công văn ra ngoài Trường liên quan công tác tuyển sinh,,Công văn,,Nhóm 1,0.5,2. Tuyển sinh,
2.11,9.4,"Báo cáo tiếp thu, giải trình liên quan công tác tuyển sinh",,Báo cáo,,Nhóm 1,0.5,2. Tuyển sinh,
2.12,16,Tham gia tuyển sinh,"Trực tiếp tham gia các hoạt động, đợt tuyển sinh theo phân công.",Đợt/Buổi tuyển sinh,,Nhóm 1,1,2. Tuyển sinh,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
2.13,16,Tư vấn tuyển sinh,"Tư vấn ngành, nghề, hồ sơ cho thí sinh, người học có nhu cầu.",Hồ sơ tuyển sinh,,Nhóm 1,1,2. Tuyển sinh,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
3.1,8,"Đề án mở ngành, nghề đào tạo mới","Xây dựng đề án mở ngành/nghề đào tạo mới theo chuẩn đầu ra, trình cấp có thẩm quyền phê duyệt.",Đề án,,Nhóm 4,3.5,3. Đào tạo,
3.2,7.4,"Kế hoạch xây dựng, phát triển chương trình, giáo trình đào tạo",,Kế hoạch,,Nhóm 2,1.5,3. Đào tạo,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
3.3,7.4,"Kế hoạch xây dựng, phát triển học liệu số",,Kế hoạch,,Nhóm 2,1.5,3. Đào tạo,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
3.4,2,"Quyết định, Kế hoạch thẩm định chương trình, giáo trình đào tạo",,Quyết định,x,Nhóm 1,1,3. Đào tạo,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
3.5,2,"Quyết định, Kế hoạch thẩm định học liệu số",,Quyết định,,Nhóm 1,1,3. Đào tạo,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
3.6,9.5,"Báo cáo kết quả biên soạn, thẩm định chương trình, giáo trình, học liệu số",,Báo cáo,,Nhóm 2,1.5,3. Đào tạo,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
3.7,7.3,"Chương trình đào tạo trình độ TC, CĐ","Chuẩn đầu ra, Chương trình đào tạo, chương trình chi tiết do nhà giáo biên soạn",Chương trình,,Nhóm 2,2,3. Đào tạo,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
3.8,7.2,"Chương trình đào tạo sơ cấp, ngắn hạn","Chương trình đào tạo, chương trình chi tiết trình độ sơ cấp, ngắn hạn do nhà giáo biên soạn",Chương trình,,Nhóm 2,2,3. Đào tạo,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
3.9,2,Quyết định ban hành chương trình đào tạo,"Ban hành, cập nhật chương trình đào tạo của ngành, nghề trình độ cao đẳng, trung cấp, sơ cấp và dưới 3 tháng.",Quyết định,,Nhóm 2,1.5,3. Đào tạo,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
3.10,7.2,Kế hoạch đào tạo năm học,Xây dựng kế hoạch tổ chức đào tạo cho năm học.,Kế hoạch,,Nhóm 2,1.5,3. Đào tạo,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
3.11,7.1,Kế hoạch giảng dạy học kỳ,"Xây dựng kế hoạch, thời khóa biểu giảng dạy học kỳ.",Kế hoạch,,Nhóm 1,1,3. Đào tạo,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
3.12,9.1,"Quyết định công nhận kết quả học tập học kỳ, năm học","Tổng hợp kết quả đào tạo theo học kỳ, năm học; ra quyết định công nhận",Báo cáo,,Nhóm 1,0.5,3. Đào tạo,
3.13,2,Quyết định công nhận tốt nghiệp,"Xét, công nhận tốt nghiệp cho người học theo khóa/đợt.",Quyết định,,Nhóm 1,0.5,3. Đào tạo,
3.14,11,"Theo dõi, cấp phát văn bằng, chứng chỉ",,Phiếu,,Nhóm 1,0.5,3. Đào tạo,
3.15,9.1,"Báo cáo tình hình cấp phát văn bằng, chứng chỉ",,Báo cáo,,Nhóm 1,0.5,3. Đào tạo,
3.16,,Giảng dạy theo kế hoạch,"Giảng dạy trên lớp theo TKB, chuẩn bị tài liệu, kế hoạch bài dạy",Giờ chuẩn,,Nhóm 2,1.2,3. Đào tạo,
3.17,16,Chủ nhiệm lớp,"Nhà giáo được phân công chủ nhiệm lớp, theo dõi, quản lý lớp học.",Sổ tay chủ nhiệm lớp,,Nhóm 1,0.5,3. Đào tạo,
3.18,16,"Thao giảng, dự giờ nhà giáo","Tổ chức, tham gia thao giảng, dự giờ đánh giá chuyên môn nhà giáo.",Phiếu dự giờ/thao giảng,,Nhóm 1,1,3. Đào tạo,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
3.19,16,Kiểm tra hoạt động dạy học,"Kiểm tra việc thực hiện kế hoạch, nội dung, phương pháp dạy học.",Biên bản kiểm tra,,Nhóm 1,0.5,3. Đào tạo,
3.20,16,"Coi thi kết thúc môn học, mô đun","Thực hiện nhiệm vụ coi thi kết thúc môn học, mô đun theo phân công.",Giờ coi thi (biên bản),,Nhóm 1,0.5,3. Đào tạo,
3.21,16,"Chấm thi kết thúc môn học, mô đun","Chấm bài thi kết thúc môn học, mô đun theo phân công.",Bảng điểm/bài thi đã chấm,,Nhóm 1,1,3. Đào tạo,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
3.22,16,"Kế hoạch vật tư thực hành môn học, mô đun","Lập kế hoạch vật tư, nguyên vật liệu phục vụ thực hành.",Kế hoạch,,Nhóm 1,1,3. Đào tạo,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
3.23,16,"Sinh hoạt chuyên môn cấp bộ môn, khoa","Tham gia, tổ chức sinh hoạt chuyên môn định kỳ của bộ môn, khoa.","Kế hoạch, Biên bản, Báo cáo",,Nhóm 1,1,3. Đào tạo,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
3.24,16,Quản lý hồ sơ giảng dạy và dữ liệu đào tạo,"Lập, cập nhật, quản lý hồ sơ giảng dạy và dữ liệu đào tạo cá nhân.",Hồ sơ giảng dạy/Dữ liệu đào tạo,,Nhóm 2,1.5,3. Đào tạo,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
3.25,16,"Giáo trình đào tạo môn học, mô đun","Nhà giáo trực tiếp biên soạn, cập nhật  giáo trình theo phân công.",Giáo trình,,Nhóm 4,3.5,3. Đào tạo,
3.26,16,"Ngân hàng đề thi, câu hỏi thi môn học, mô đun","Biên soạn, bổ sung câu hỏi vào ngân hàng đề thi môn học, mô đun.",Đề thi/Ngân hàng câu hỏi,,Nhóm 2,2,3. Đào tạo,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
3.27,16,"Thẩm định chương trình, giáo trình đào tạo theo phân công","Tham gia hội đồng, thực hiện thẩm định chuyên môn chương trình, giáo trình.",Biên bản thẩm định/Phiếu,,Nhóm 2,2,3. Đào tạo,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
3.28,16,"Thẩm định, phản biện ngân hàng đề thi, câu hỏi thi","Phản biện, thẩm định chất lượng câu hỏi trong ngân hàng đề thi.",Phiếu/Biên bản thẩm định,,Nhóm 2,1.5,3. Đào tạo,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
3.29,16,"Theo dõi kết quả học tập, tổ chức học lại, học cải thiện","Theo dõi kết quả học tập; lập danh sách, tổ chức học lại/học cải thiện.","Kế hoạch/Danh sách học lại, học cải thiện",,Nhóm 2,1.5,3. Đào tạo,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
3.30,16,"Văn bản đề xuất miễn trừ, bảo lưu và công nhận kết quả học tập","Xét, đề xuất miễn trừ, bảo lưu, công nhận kết quả học tập cho người học.",Biên bản/Văn bản đề xuất,,Nhóm 1,0.5,3. Đào tạo,
3.31,16,Báo cáo đánh giá chương trình đào tạo,Tổ chức đánh giá định kỳ chương trình đào tạo đang triển khai.,Báo cáo đánh giá chương trình,,Nhóm 3,2.5,3. Đào tạo,
